RECNO,UNIT,ID,SUFFIX,PRISM,X,Y,Z,Depth,EXCAVATOR,LEVEL,SPIT,FEATURE,CODE,TIME,DATE,NOTES,YEAR
10825,C6,1733,0,0,4997.688,5009.759,566.525,-4.958,OLIVIA,U,2,,LITHIC,4:28:52 PM,7/29/2015,QUARTZ,
10966,C5,1070,0,0,4996.377,5009.478,566.638,-4.845,CRYSTAL,U,1,/,LITHIC,9:48:48 AM,7/30/2015,CHERT,
11278,C7,1478,0,0,4998.93,5009.955,566.415,-5.068,Annie,U,3,NONE,LITHIC,12:48:37 PM,7/30/2015,CHERT,
11284,C5,1136,0,0,4996.712,5009.564,566.688,-4.795,CRYSTAL,U,1,NONE,LITHIC,12:50:13 PM,7/30/2015,QUARTZ,
11468,C5,1162,0,0,4996.948,5009.492,566.624,-4.859,MELISSA,U,1,NONE,LITHIC,3:12:16 PM,7/30/2015,QUARTZ,
726,C7, 1572,0,0,4998.097,5009.407,566.35,CASSIE,U,3,NONE,LITHIC,10:18:23 AM,7/9/2016,QUARTZ PEBBLE,,
496,B4,59,0,0,4995.399,5010.485,566.904,-4.579,ANDREA,T,2, ,LITHIC,01/01/2000 08:18,12/01/2010 08:18,CHERT,NOMAD
552,B4,64,0,0,4995.242,5010.765,566.913,-4.57,ANDREA,T,2, ,LITHIC,01/01/2000 09:48,12/01/2010 09:48,QUARTZITE,NOMAD
1100,B4,154,0,0,4995.108,5010.785,566.653,-4.83,ANDREA,T,5, ,LITHIC,01/01/2000 11:56,15/01/2010 11:56,QUARTZ,NOMAD
1759,C4,184,0,0,4995.386,5009.757,566.642,-4.841,ANDREA,U,1, ,LITHIC,01/01/2000 16:29,04/07/2019 16:29,QUARTZ,NOMAD
3368,D4,54,0,0,4995.837,5008.865,566.799,-4.684,ANDREA,T,2, ,LITHIC,01/01/2000 11:52,09/07/2019 11:52,QUARTZ,NOMAD
