Site,Level,Area,LOT,UNIT,ID,RawMaterial,QuartzQuality,Class,CorePreparProd,RetouchedPieceBlank,PieceCompleteness,Cortex,CortexLocation,CortexType,PlatformType,PlatformCortex,Lipping,BlankShape,CrossSection,BlankTip,Profile,ScarCount,ScarPattern,Thickness,MaxWidth,ProxWidth,MedWidth,DistWidth,Length,PlatformThickness,PlatformWidth,ExteriorPlatformAngle,Weight,CoreType,CoreCrossSection,NumberCoreFaces,CorePlatform,CoreDistalTreatment,CoreLeftTreatment,CoreRightTreatment,CoreBackTreatment,MainFaceCortex,MainFaceScarCount,MainFaceScarDirection,MainFaceArisOrientation,MainFaceScarLength,MainFaceScarMaxWidth,MainFaceScarProxWidth,MainFaceScarMedWidth,MainFaceScarDistWidth,MainFacePlatformAngle,MainFaceCoreUse,DistalFaceCortex,DistalFaceScarCount,DistalFaceScarDirection,DistalFaceArisOrientation,DistalFaceCoreUse,LeftFaceCortex,LeftFaceScarCount,LeftFaceScarDirection,LeftFaceArisOrientation,LeftFaceCoreUse,RightFaceCortex,RightFaceScarCount,RightFaceScarDirection,RightFaceArisOrientation,RightFaceCoreUse,BackFaceCortex,BackFaceScarCount,BackFaceScarDirection,BackFaceArisOrientation,BackFaceCoreUse,CoreAbandon,Alteration,Fire,EdgeDamage,RetouchedPieceTypology,ChipQuantity,OtherNotes,ValeComprido
VB,,T,,7,665,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Step,Straight,5,Unidirectional,4.14,20.55,15.77,19.33,10.2,44.37,5.39,13.86,82.6,5,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
VB,,T,,G25,5,Dolerite,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Convergent,Trapezoidal,Pointed,Straight,4,Unidirectional,5.7,15.86,11.05,15.48,5.66,30.18,5.99,7.95,80.2,1,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,No,Vale Comprido Point,0,,Vale Comprido Point
LP,T4,,,C8,289,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Feather,Straight,3,Unidirectional,2.23,9.74,8.57,9.68,3.46,29.98,2.27,8.62,83.2,0.7,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,TVC?,VCblank
LP,T,,,ZZ9,320,Chert,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Feather,Straight,4,Unidirectional,5.79,28.58,16.93,27.51,7.4,59.34,8.87,16.35,70.7,10,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,Sup VC,VCblank
LP,T3,,,E6,62,Chert,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Parallel,Triangular,Pointed,Straight,4,Unidirectional,6.13,20.77,16.58,20.81,10.86,62.15,5.37,14.69,82.5,10,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Retouched blade,0,PVC?,VCblank
LP,T,,,YY12,159,Chert,,Blank,,,,0%,,,Plain,No,No,Parallel,Trapezoidal,Feather,Straight,3,Unidirectional,5.13,20.65,16.82,20.45,5.39,46.62,5.26,16.42,82,6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,Yes,,0,Sup VC?,VCblank
VB,,T,LOT-55,I18,2870,Chert,,RetouchedPiece,,Blank,,0%,,,Faceted,No,Yes,Convergent,Triangular,Pointed,Straight,4,Unidirectional,6.44,14.76,11.48,14.77,3.33,27.74,7.61,11.62,77.7,3.2,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Retouched blade,0,PVC?,VCblank
VB,,T,LOT-311,H18,3024,Dolerite,,Blank,,,,0%,,,Dihedral,No,Yes,Irregular,Lenticular,Feather,Straight,3,Unidirectional,3.56,18.2,18.19,17.95,4.41,32.16,8.24,19.07,73.7,2.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Patinated,,Yes,,0,TVC?,VCblank
VB,,T,LOT-311,H18,2656,Chert,,Blank,,,,0%,,,Plain,No,No,Parallel,Triangular,Feather,Curved,3,Unidirectional,4.9,16.58,15.61,14.18,16.03,28.18,5.87,11.07,107.6,2.8,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,TVC?,VCblank
VB,,T,LOT-85,I20,2334,Dolerite,,Blank,,,,0%,,,Plain,No,No,Irregular,Triangular,Step,Twisted,3,Unidirectional,9.41,20.64,14.66,15.06,20.54,30.31,6.62,13.8,85.8,7.9,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,Concretion,,No,,0,TVC?,VCblank
VB,,T,LOT-39,H20,3104,Other,,Blank,,,,0%,,,Plain,No,No,Convergent,Triangular,Pointed,Straight,3,Unidirectional,5.87,16.46,5.81,17.28,2.95,34.67,4.92,6.62,78.9,3.6,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,,0,TVC?,VCblank
LP,T3,,,E6,62,Chert,,RetouchedPiece,,Blank,,0%,,,Plain,No,No,Parallel,Triangular,Pointed,Straight,4,Unidirectional,6.13,20.77,16.58,20.81,10.86,62.15,5.37,14.69,82.5,10,,,,,,,,,,0,,,0,0,0,0,0,0,,,0,,,,,0,,,,,0,,,,,0,,,,,None,,No,Vale Comprido point (?),0,PVC?,
